country_code,country,year_ilo,teleworkable,gdppc_ppp2019
AFG,Afghanistan,2017,.10872025,2088.943
ARE,United Arab Emirates,2018,.2889491,71478.348
AUT,Austria,2018,.36692569,52202.92
BEL,Belgium,2018,.42335179,49220.512
BGD,Bangladesh,2017,.11266176,4912.347
BGR,Bulgaria,2018,.28902096,24132.358
BIH,Bosnia and Herzegovina,2019,.20444699,12555.066
BLZ,Belize,2016,.18290572,8511.731
BOL,Bolivia,2018,.15182467,8212.803
BRA,Brazil,2019,.25651267,16466.151
CHE,Switzerland,2018,.44855413,64283.928
CHL,Chile,2017,.25744435,26404.11
CIV,C̫te d'Ivoire,2017,.12437264,4384.263
CYP,Cyprus,2018,.37057629,39497.166
CZE,Czechia,2018,.32994014,38376.215
DEU,Germany,2018,.36728251,53886.815
DNK,Denmark,2018,.41422671,52745.642
DOM,Dominican Republic,2018,.19684952,19246.033
ECU,Ecuador,2019,.15021288,11539.639
EGY,Egypt,2017,.2772634,14213.98
ESP,Spain,2018,.31690371,41677.974
EST,Estonia,2018,.39750791,35214.923
FIN,Finland,2018,.38919127,47452.585
FJI,Fiji,2016,.22931132,10886.455
FRA,France,2018,.37736347,46590.277
GBR,United Kingdom,2018,.4350208,46188.046
GEO,Georgia,2018,.23464052,12058.621
GHA,Ghana,2017,.15197946,5256.94
GRC,Greece,2018,.32338822,30305.133
GTM,Guatemala,2017,.14075065,8772.741
GUY,Guyana,2018,.19575405,9188.383
HND,Honduras,2018,.14117433,5984.719
HRV,Croatia,2018,.32696211,26528.775
HUN,Hungary,2018,.30920234,32130.987
IRL,Ireland,2018,.38710698,78949.53200000001
ISL,Iceland,2018,.41627914,56506.828
ITA,Italy,2018,.34985268,40350.731
KGZ,Kyrgyzstan,2018,.16280971,4036.104
KHM,Cambodia,2016,.10838296,4620.538
KIR,Kiribati,2015,.21582012,2050.415
LAO,Lao People's Democratic Republic,2017,.22139078,8535.925999999999
LBR,Liberia,2014,.11277339,939.425
LKA,Sri Lanka,2017,.20738013,14679.601
LTU,Lithuania,2018,.36050162,36406.927
LUX,Luxembourg,2018,.53422093,116152.297
LVA,Latvia,2018,.36184752,30743.036
MDG,Madagascar,2015,.064019307,1707.717
MDV,Maldives,2016,.36552915,21186.378
MEX,Mexico,2019,.22319771,20735.558
MKD,North Macedonia,2018,.23818491,16855.862
MLT,Malta,2018,.41598308,47746.748
MMR,Myanmar,2018,.10160165,7464.459
MNE,Montenegro,2018,.32709849,19135.019
MNG,Mongolia,2019,.24310298,13882.952
MOZ,Mozambique,2015,.0524421,1393.734
MUS,Mauritius,2018,.2642453,24183.881
NER,Niger,2017,.15333873,1243.721
NLD,Netherlands,2018,.41546676,57956.077
NOR,Norway,2018,.41718486,74293.814
NPL,Nepal,2017,.16783282,2980.855
PAK,Pakistan,2018,.13469772,6002.018
PAN,Panama,2014,.24660653,27415.629
PHL,Philippines,2018,.25851291,9384.707
PLW,Palau,2014,.33088359,18534.793
POL,Poland,2018,.33345813,32447.186
PRT,Portugal,2018,.33162573,32910.23
ROU,Romania,2018,.21756524,27066.453
RUS,Russian Federation,2018,.33923316,30011.706
RWA,Rwanda,2018,.10766,2360.484
SLE,Sierra Leone,2014,.098601311,2034.493
SLV,El Salvador,2018,.16124284,9609.035
SRB,Serbia,2018,.25315851,17048.525
SVK,Slovakia,2018,.29041317,36835.23
SVN,Slovenia,2018,.37825024,37070.384
SWE,Sweden,2018,.44198969,54556.289
SWZ,Eswatini,2016,.19592024,9943.787
SYC,Seychelles,2016,.30577442,31261.473
TGO,Togo,2017,.15341642,1764.641
THA,Thailand,2019,.16843998,19763.755
TON,Tonga,2018,.25936216,6167.577
TUR,Turkey,2018,.22844583,28934.591
UGA,Uganda,2017,.11863338,2566.047
URY,Uruguay,2018,.2728793,24661.807
USA,United States,2019,.41574553,63809.637
WSM,Samoa,2017,.26476866,6037.819
ZMB,Zambia,2018,.18768442,4273.793
