AREA,STATE,teleworkable_manual_emp,teleworkable_manual_wage,teleworkable_emp,teleworkable_wage
1,Alabama,.26517713,.35357139,.30571073,.38827246
2,Alaska,.3081013,.35720354,.36583352,.40828031
4,Arizona,.33579168,.42241624,.37845722,.46201053
5,Arkansas,.26177549,.3278251,.31395182,.37693137
6,California,.33283171,.44809973,.38499933,.49870974
8,Colorado,.34638044,.45645434,.39812028,.50586993
9,Connecticut,.34255669,.44555712,.40139404,.49884161
10,Delaware,.32373825,.41968536,.37989664,.46583349
11,District of Columbia,.56591535,.70021337,.60484916,.74176639
12,Florida,.30401337,.39206919,.35229632,.4429675
13,Georgia,.31789955,.43751776,.36536512,.48259512
15,Hawaii,.28030244,.32800686,.32468012,.36342883
16,Idaho,.2901471,.33987558,.33505097,.38221633
17,Illinois,.33069646,.43004858,.3808721,.47448936
18,Indiana,.2627019,.3283858,.30535173,.36734885
19,Iowa,.29650643,.36516285,.34174913,.40304843
20,Kansas,.31045687,.38789612,.35751182,.42728731
21,Kentucky,.26004013,.3207373,.30545092,.35820207
22,Louisiana,.24574713,.30661049,.29903707,.35031998
23,Maine,.29728669,.35825583,.34635571,.3941339
24,Maryland,.35122341,.46751267,.4123233,.52141613
25,Massachusetts,.36478892,.46868512,.41915882,.52033293
26,Michigan,.29368192,.37930781,.3280935,.40516838
27,Minnesota,.33282888,.42881516,.37629431,.46547514
28,Mississippi,.24230506,.2914232,.29525715,.33936247
29,Missouri,.30146194,.37969235,.35111508,.42641601
30,Montana,.27694267,.31154609,.34202126,.36943898
31,Nebraska,.31057128,.37576628,.36100832,.4194454
32,Nevada,.24424271,.32323804,.3048369,.36963898
33,New Hampshire,.3184627,.41326523,.37506559,.4636896
34,New Jersey,.33350679,.44131869,.39187437,.49198127
35,New Mexico,.29518411,.37113881,.33997753,.40770775
36,New York,.34571218,.44829142,.41217533,.52204823
37,North Carolina,.29418766,.39791411,.34084171,.44437915
38,North Dakota,.27081904,.31809294,.32598859,.36042383
39,Ohio,.29890397,.37520516,.34579146,.41800365
40,Oklahoma,.2905663,.36354449,.34774545,.41793796
41,Oregon,.31276858,.39124885,.36174938,.43378559
42,Pennsylvania,.30075723,.38360068,.35578474,.441064
44,Rhode Island,.32110935,.41122133,.37261412,.45827991
45,South Carolina,.26433569,.33531758,.30820337,.37300959
46,South Dakota,.26164898,.31705239,.31058717,.35740381
47,Tennessee,.27561763,.35405234,.32675728,.40141857
48,Texas,.31921932,.41593257,.37219954,.46872398
49,Utah,.3619695,.44903326,.39641795,.47797278
50,Vermont,.31507254,.37478715,.361386,.41041416
51,Virginia,.35634503,.49007955,.40325794,.53536993
53,Washington,.33671471,.43762025,.38631588,.4797447
54,West Virginia,.2539359,.30190849,.31604862,.35249266
55,Wisconsin,.29594764,.36943027,.33482158,.40309569
56,Wyoming,.24112566,.27486092,.30513912,.32251415
66,Guam,.32319799,.39785182,.3577483,.42992011
72,Puerto Rico,.30809724,.36747292,.36366567,.41376391
78,Virgin Islands,.30668545,.36924592,.38950682,.45890135
